step,lambda
99119000,12.907624347826083
66652000,3.973154908595034
26655000,18.461710857142826
89964000,8.546696043165468
47366000,21.766763636363645
29276000,19.52215199999997
31112000,9.839520846582909
81425000,5.08115725704545
12492000,14.901341920903942
54166000,1.1568532647500038
18252000,15.914984799999985
49881000,17.27700823022059
60881000,11.828084200981815
62227000,12.399372461086948
73766000,14.039754842229732
39558000,16.21229635036496
65363000,7.940069891192057
19444000,16.12344755681816
91013000,8.854049925925924
98603000,13.65271061600659
95215000,9.751762878854178
61302000,12.26811879593525
2541000,15.417737499999987
19635000,16.082030689655156
61940000,12.290367192472722
27219000,18.567814137931006
90751000,9.016660775193802
63025000,19.519394662162156
75985000,3.9341389943076877
60722000,12.051312685519706
9589000,14.855937356321824
29279000,19.44444034090906
67931000,3.762437169999996
8839000,14.969404090909077
52978000,12.24659167684985
99673000,12.511206788321159
7410000,15.641904318181798
80627000,4.2973712336945775
71892000,9.683231995068489
78184000,5.530415008888887
1557000,14.736934659090897
1394000,14.68036255813952
59474000,3.39917378860962
40702000,15.811073828124997
84928000,12.051758844238096
17652000,15.914984342857124
13607000,14.48925994382021
96636000,10.431408612716762
44262000,15.75054915562813
68922000,6.750621286958173
35629000,20.928078523489912
31335000,9.810148987286428
42101000,20.844507692307687
52416000,12.034365125428598
93438000,11.225888040540537
76093000,4.0302252466935435
40703000,15.811073828124997
94444000,10.81411052725553
82700000,6.905395522361108
68713000,6.975282524320555
68567000,8.06806231863248
60768000,11.78026256461817
9553000,14.871245257142842
39946000,15.842917603984962
51157000,23.82158720930234
39645000,16.21540074626865
6988000,15.49574344632766
42096000,20.889359999999993
16026000,9.471577453212431
7776000,15.558880795454524
64725000,3.8388825248305034
76211000,5.515964873576154
18982000,16.048725681818166
47623000,22.620733766233776
8490000,15.455739085714272
84680000,7.182204449483394
7808000,15.747986228571408
8684000,14.917853615819196
51081000,23.612287500000015
87798000,7.244305333135593
49562000,15.578704822419333
18851000,16.02437775280897
92886000,10.094106877105265
37931000,14.304125206286905
8167000,15.371909378531058
91418000,9.70748710394904
61001000,12.378799692642849
39812000,16.018706015037587
46408000,22.67626049382717
85516000,5.256432508888887
54912000,1.2770881549579867
41233000,15.960365891472865
13143000,14.554280965909077
57084000,5.484589341255597
87851000,7.139589029035087
52141000,11.721929580729954
97132000,11.324620820812495
70694000,3.7057364153599965
36314000,21.090547333333312
87089000,11.415485427969545
38823000,16.190964963503642
20969000,15.636087005649697
56861000,5.6371932711009105
25103000,18.14441485714283
3115000,15.48415772727271
9715000,14.921344685714274
75442000,3.9369259223140443
77162000,5.114367461153841
55472000,24.548809473684216
73835000,14.039754842229732
51565000,23.15251444444446
15296000,9.38192702461538
21774000,14.971716830532763
41270000,15.949037984496119
3753000,15.95805525423727
15659000,9.437819373556696
23143000,17.44606629834252
23233000,17.65177017142855
28454000,20.068806936416156
3373000,15.467552386363622
5895000,15.16349234285713
93701000,11.505997972027968
14093000,14.660836187845291
85299000,5.630671990799998
10563000,14.687978505747111
49274000,15.882784380816304
32888000,20.418635761589375
43199000,22.657406741573045
67198000,4.225166309612398
37885000,13.224225669805557
61044000,12.113478497355066
29269000,19.554332022471886
97733000,14.640143734177204
64179000,4.066090034260864
32329000,20.0895482993197
55963000,14.515937843349654
98264000,13.271728998844871
76823000,4.901510482519681
9608000,14.780355862068948
96814000,10.79588375875
47241000,22.07239210526317
51704000,23.047063366336634
29399000,19.618792613636337
80227000,4.818171257252246
3462000,15.545275932203376
1999000,14.844866363636351
63997000,4.297794823025208
77349000,9.7188396592446
5369000,15.484156306818164
87149000,11.023668027512954
83498000,4.695480446399994
14991000,9.61223560317708
81115000,5.552738337999994
68691000,7.2498254918245575
64272000,3.7992557733912995
31185000,10.048738662413788
41674000,21.0203880733945
79710000,7.29571195607913
47544000,22.591518421052644
97289000,13.641058728323694
63562000,4.327549040538456
92406000,8.78818316230498
28770000,20.07542954545452
66130000,13.957363701034486
27003000,18.73872954545451
39952000,16.041406186249993
